Grupa Tematyczna;Pytanie (User Prompt);Oczekiwana Odpowiedź / Akcja;Źródło Odp.;Parametry
Generowanie Treści (Drafty);Przygotuj agendę spotkania dla [Nazwa Klienta] uwzględniającą ich otwarte problemy.;Lista punktów do omówienia.;Semantyczne (Notatki);[Nazwa Klienta]
Generowanie Treści (Drafty);Stwórz notatkę o braku aktywności dla klienta, który nie kupował od 6 miesięcy.;Empatyczny mail "Tęsknimy za Wami".;SQL (Ostatnie zamówienie) + GenAI;Okres: 6 m-cy
Generowanie Treści (Drafty);Wygeneruj listę pytań, które powinienem zadać klientowi z branży [Branża] na pierwszym spotkaniu.;Scenariusz rozmowy kwalifikacyjnej.;Semantyczne (Baza wiedzy/Produkty);[Branża]
Zarządzaniez Czasem;Z jakimi klientami mam zaplanowane spotkania w przyszłym tygodniu?;Lista klientów (wymaga integracji z kalendarzem lub dat w notatkach).;Mieszane;Data przyszła
Zarządzanie Czasem;Dla których klientów obiecałem przygotować ofertę, ale nie ma jej w systemie?;Wyszukanie deklaracji "przyślę ofertę" w notatkach bez pokrycia w systemie ofert.;Mieszane (Notatki vs System);Brak
Zarządzanie Czasem;Przypomnij mi, kiedy [Nazwa Klienta] wraca z urlopu?;Wyszukanie dat powrotu w treści notatek.;Semantyczne (Notatki);[Nazwa Klienta]
Analiza Strategiczna;Które produkty generują najwięcej problemów wdrożeniowych wg notatek?;Ranking produktów z negatywnym sentymentem wdrożeniowym.;Mieszane (Produkty + Notatki);Brak
Analiza Strategiczna;Jaki jest średni czas od pierwszego kontaktu do pierwszego zamówienia?;Analiza cyklu sprzedaży.;Mieszane (Notatki data min. vs Zamówienia data min.);Brak
Analiza Strategiczna;Zidentyfikuj klientów VIP (wysoki obrót), z którymi mamy słabą relację (rzadki kontakt).;Macierz: Wysokie Zamówienia vs Mała liczba Notatek.;Mieszane (SQL vs Metadata);Segment VIP
Administracja;Czy dla klienta [Nazwa Klienta] mamy uzupełniony NIP w bazie?;Sprawdzenie kompletności danych.;SQL (Lista Klientów);[Nazwa Klienta]
Administracja;Pokaż notatki, w których brakuje zdefiniowanych kolejnych kroków (Next Steps).;Lista notatek do uzupełnienia.;Semantyczne (Analiza struktury notatki);Brak
Administracja;Jakie produkty zostały wycofane, a wciąż pojawiają się w zapytaniach klientów?;Porównanie nazw z notatek ze statusem "wycofany" w produktach.;Mieszane;Status: Wycofany
Administracja;Zsumuj sprzedaż produktów z kategorii [Kategoria] dla regionu [Region].;Raport sprzedażowy.;SQL (Zamówienia + Klienci);[Kategoria], [Region]
Administracja;Znajdź duplikaty w liście klientów na podstawie nazwy lub NIP.;Lista potencjalnych rekordów do scalenia.;SQL (Lista Klientów);Brak

Email do IT - sql -
Kto mi pomoże z zepsutym ekspresem do kawy (Vector Search po Opis_Obowiazkow)
